Piece,Side,page,row,column,side number,In_Out,Matched,Matched_side,Width,Height,symetry,m,c,head_flatness,
Page_0002_1_3,Page_0002_1_3_3_in,0002,1,3,3,in,0,,259.1138746,259.1138746,0.514387846,-0.100837977,61.1187261,,
Page_0002_1_3,Page_0002_1_3_4_out,0002,1,3,4,out,0,,222.9910312,222.9910312,0.430889894,-0.145322128,51.39713894,,
Page_0002_1_4,Page_0002_1_4_1_in,0002,1,4,1,in,0,,218.5863674,218.5863674,0.453746337,-0.144008657,51.66008298,,
Page_0002_1_4,Page_0002_1_4_2_out,0002,1,4,2,out,0,,202.1583538,202.1583538,0.625526084,0.053353754,38.55959098,,
Page_0002_1_4,Page_0002_1_4_3_in,0002,1,4,3,in,0,,212.0778159,212.0778159,0.556373257,-0.01293867,39.96340569,,
Page_0002_1_4,Page_0002_1_4_4_out,0002,1,4,4,out,0,,223.6470434,223.6470434,0.596905114,-0.017736413,37.96266619,,
Page_0002_1_5,Page_0002_1_5_1_in,0002,1,5,1,in,0,,194.0412327,194.0412327,0.517263359,-0.022083076,32.96655191,,
Page_0002_1_5,Page_0002_1_5_2_out,0002,1,5,2,out,0,,200.039996,200.039996,0.420131947,-0.20322363,68.33133148,,
Page_0002_1_5,Page_0002_1_5_3_in,0002,1,5,3,in,0,,211.2557692,211.2557692,0.569696834,-0.031919746,35.71481597,,
Page_0002_1_5,Page_0002_1_5_4_out,0002,1,5,4,out,0,,215.5736533,215.5736533,0.554355311,0.012637709,26.42509794,,
Page_0002_1_6,Page_0002_1_6_1_in,0002,1,6,1,in,0,,197.0634416,197.0634416,0.477854457,-0.075157538,40.19745205,,
Page_0002_1_6,Page_0002_1_6_2_out,0002,1,6,2,out,0,,235.5525419,235.5525419,0.533495539,-0.006460291,41.879222,,
Page_0002_1_6,Page_0002_1_6_3_in,0002,1,6,3,in,0,,212.2498528,212.2498528,0.625593785,0.084444795,24.66151181,,
Page_0002_1_6,Page_0002_1_6_4_out,0002,1,6,4,out,0,,251.2866889,251.2866889,0.41637501,-0.160355294,56.90865765,,
Page_0002_1_7,Page_0002_1_7_1_in,0002,1,7,1,in,0,,254.3324596,254.3324596,0.570394991,-0.007866473,33.60732362,,
Page_0002_1_7,Page_0002_1_7_2_out,0002,1,7,2,out,0,,235.0085105,235.0085105,0.581270709,0.062046127,22.14654828,,
Page_0002_1_7,Page_0002_1_7_3_in,0002,1,7,3,in,0,,237.0527367,237.0527367,0.465067445,-0.091309989,51.26617494,,
Page_0002_1_7,Page_0002_1_7_4_out,0002,1,7,4,out,0,,212.6805116,212.6805116,0.441823447,-0.157060149,49.99865466,,
Page_0002_2_1,Page_0002_2_1_1_in,0002,2,1,1,in,0,,185.2700731,185.2700731,0.456081573,0.008860823,30.36164233,,
Page_0002_2_1,Page_0002_2_1_2_out,0002,2,1,2,out,0,,231.2163489,231.2163489,0.620564524,0.065905036,23.16433107,,
Page_0002_2_1,Page_0002_2_1_3_in,0002,2,1,3,in,0,,213.2346126,213.2346126,0.506169038,0.090414555,19.63201045,,
Page_0002_2_1,Page_0002_2_1_4_out,0002,2,1,4,out,0,,230.7032726,230.7032726,0.455884563,-0.005244772,34.88288819,,
Page_0002_2_2,Page_0002_2_2_1_in,0002,2,2,1,in,0,,204.5189478,204.5189478,0.498374295,0.072556811,25.13520451,,
Page_0002_2_2,Page_0002_2_2_2_out,0002,2,2,2,out,0,,203.0221663,203.0221663,0.473555243,0.011702545,35.76405706,,
Page_0002_2_2,Page_0002_2_2_3_in,0002,2,2,3,in,0,,198.2044399,198.2044399,0.642840779,0.121680593,14.12543171,,
Page_0002_2_2,Page_0002_2_2_4_out,0002,2,2,4,out,0,,246,246,0.532520325,0.029021827,26.05671618,,
Page_0002_2_3,Page_0002_2_3_1_in,0002,2,3,1,in,0,,231.4865007,231.4865007,0.60312395,0.009827384,35.78301881,,
Page_0002_2_3,Page_0002_2_3_2_out,0002,2,3,2,out,0,,205.9757267,205.9757267,0.479705841,-0.136150852,59.56832365,,
Page_0002_2_3,Page_0002_2_3_3_in,0002,2,3,3,in,0,,254.568262,254.568262,0.518879716,-0.033439987,38.43929384,,
Page_0002_2_3,Page_0002_2_3_4_out,0002,2,3,4,out,0,,203.3051893,203.3051893,0.620617908,0.046575076,21.37654461,,
Page_0002_2_4,Page_0002_2_4_1_in,0002,2,4,1,in,0,,208.0624906,208.0624906,0.552945253,0.039515,24.19473491,,
Page_0002_2_4,Page_0002_2_4_2_out,0002,2,4,2,out,0,,250.1999201,250.1999201,0.534504792,-0.091746874,46.46820967,,
Page_0002_2_4,Page_0002_2_4_3_in,0002,2,4,3,in,0,,195.2075818,195.2075818,0.419855141,-0.043205724,31.02890787,,
Page_0002_2_4,Page_0002_2_4_4_out,0002,2,4,4,out,0,,220.3111436,220.3111436,0.559367081,-0.009961853,34.05621094,,
Page_0002_2_5,Page_0002_2_5_1_in,0002,2,5,1,in,0,,179.8054504,179.8054504,0.488184349,0.075557881,28.23508885,,
Page_0002_2_5,Page_0002_2_5_2_out,0002,2,5,2,out,0,,224.1428116,224.1428116,0.573726115,0.097339563,19.25359584,,
Page_0002_2_5,Page_0002_2_5_3_in,0002,2,5,3,in,0,,213.2346126,213.2346126,0.595614595,0.140388852,13.30958092,,
Page_0002_2_5,Page_0002_2_5_4_out,0002,2,5,4,out,0,,233.1372986,233.1372986,0.412856696,-0.020010309,41.61707728,,
Page_0002_2_6,Page_0002_2_6_1_in,0002,2,6,1,in,0,,280.0017857,280.0017857,0.531294244,-0.000598197,34.80679828,,
Page_0002_2_6,Page_0002_2_6_2_out,0002,2,6,2,out,0,,214.9651134,214.9651134,0.427764553,0.046299737,28.50404805,,
Page_0002_2_6,Page_0002_2_6_3_in,0002,2,6,3,in,0,,231.6246964,231.6246964,0.485256291,-0.067654173,47.10406827,,
Page_0002_2_6,Page_0002_2_6_4_out,0002,2,6,4,out,0,,228.9650628,228.9650628,0.503404864,-0.055159775,37.00433325,,
Page_0002_2_7,Page_0002_2_7_1_in,0002,2,7,1,in,0,,255.0490149,255.0490149,0.543735588,0.033648135,34.9488625,,
